movie_id,title,poster,synopsis,cast,genre,release_year,rating,language,runtime,region,clean_text
1,Toy Story,https://image.tmdb.org/t/p/w500/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,A cowboy doll feels threatened when a new space ranger toy becomes his owner's favorite.,Tom Hanks|Tim Allen|Annie Potts,Adventure|Animation|Children|Comedy|Fantasy,1995,8.3,English,83,Hollywood,toy story a cowboy doll feels threatened when a new space ranger toy becomes his owner s favorite. tom hanks tim allen annie potts adventure animation children comedy fantasy english hollywood
2,Jumanji,https://image.tmdb.org/t/p/w500/vgpXmVaVyUL7GGiDeiK1mKEKzcX.jpg,Two children release a magical board game's wild dangers into the real world.,,Adventure|Children|Fantasy,1995,7.2,English,84,Hollywood,jumanji two children release a magical board game s wild dangers into the real world.  adventure children fantasy english hollywood
3,Grumpier Old Men,https://image.tmdb.org/t/p/w500/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg,"Grumpier Old Men is a comedy, romance film from 1995.",,Comedy|Romance,1995,6.3,English,85,Hollywood,"grumpier old men grumpier old men is a comedy, romance film from 1995.  comedy romance english hollywood"
4,Waiting to Exhale,https://image.tmdb.org/t/p/w500/8MprEuTY3EwkF9nBBPCUyjRjvs5.jpg,"Waiting to Exhale is a comedy, drama, romance film from 1995.",,Comedy|Drama|Romance,1995,5.4,English,86,Hollywood,"waiting to exhale waiting to exhale is a comedy, drama, romance film from 1995.  comedy drama romance english hollywood"
5,Father of the Bride Part II,https://image.tmdb.org/t/p/w500/rj4LBtwQ0uGrpBnCELr716Qo3mw.jpg,Father of the Bride Part II is a comedy film from 1995.,,Comedy,1995,6.5,English,87,Hollywood,father of the bride part ii father of the bride part ii is a comedy film from 1995.  comedy english hollywood
6,Heat,https://image.tmdb.org/t/p/w500/umSVjVdbVwtx5ryCA2QXL44Durm.jpg,A master thief and a determined detective move toward a final confrontation in Los Angeles.,,Action|Crime|Thriller,1995,8.6,English,88,Hollywood,heat a master thief and a determined detective move toward a final confrontation in los angeles.  action crime thriller english hollywood
7,Sabrina,https://image.tmdb.org/t/p/w500/z1oNjotUI7D06J4LWQFQzdIuPnf.jpg,A chauffeur's daughter returns from Paris and becomes caught between two wealthy brothers.,,Comedy|Romance,1995,6.7,English,89,Hollywood,sabrina a chauffeur s daughter returns from paris and becomes caught between two wealthy brothers.  comedy romance english hollywood
8,Tom and Huck,https://image.tmdb.org/t/p/w500/bMY31ikEOIPOHqQwhPhII8UVBln.jpg,"Tom and Huck is an adventure, family film from 1995.",,Adventure|Children,1995,6.8,English,90,Hollywood,"tom and huck tom and huck is an adventure, family film from 1995.  adventure children english hollywood"
9,Sudden Death,https://www.impawards.com/1995/posters/sudden_death.jpg,A firefighter must stop terrorists during a packed championship hockey game.,,Action,1995,6.0,English,91,Hollywood,sudden death a firefighter must stop terrorists during a packed championship hockey game.  action english hollywood
10,GoldenEye,https://image.tmdb.org/t/p/w500/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg,James Bond faces a former ally who plans to use a stolen satellite weapon.,,Action|Adventure|Thriller,1995,7.1,English,92,Hollywood,goldeneye james bond faces a former ally who plans to use a stolen satellite weapon.  action adventure thriller english hollywood
11,"American President, The",https://www.impawards.com/1995/posters/american_president.jpg,A widowed U.S. president risks his political future when he falls in love with a lobbyist.,,Comedy|Drama|Romance,1995,7.2,English,93,Hollywood,"american president, the a widowed u.s. president risks his political future when he falls in love with a lobbyist.  comedy drama romance english hollywood"
12,Dracula: Dead and Loving It,https://www.impawards.com/1995/posters/dracula_dead_and_loving_it.jpg,Mel Brooks parodies the Dracula legend with a comic take on the classic vampire story.,,Comedy|Horror,1995,5.3,English,94,Hollywood,dracula dead and loving it mel brooks parodies the dracula legend with a comic take on the classic vampire story.  comedy horror english hollywood
13,Balto,https://image.tmdb.org/t/p/w500/gV5PCAVCPNxlOLFM1bKk50EqLXO.jpg,A brave sled dog helps deliver medicine during a dangerous Alaskan diphtheria outbreak.,,Adventure|Animation|Children,1995,6.4,English,95,Hollywood,balto a brave sled dog helps deliver medicine during a dangerous alaskan diphtheria outbreak.  adventure animation children english hollywood
