movie_id,title,poster,synopsis,cast,genre,release_year,rating,language,runtime,region
1,Toy Story,https://image.tmdb.org/t/p/w500/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,A cowboy doll feels threatened when a new space ranger toy becomes his owner's favorite.,Tom Hanks|Tim Allen|Annie Potts,Adventure|Animation|Children|Comedy|Fantasy,1995,8.3,English,83,Hollywood
2,Jumanji,https://image.tmdb.org/t/p/w500/vgpXmVaVyUL7GGiDeiK1mKEKzcX.jpg,Two children release a magical board game's wild dangers into the real world.,,Adventure|Children|Fantasy,1995,7.2,English,84,Hollywood
3,Grumpier Old Men,https://image.tmdb.org/t/p/w500/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg,"Grumpier Old Men is a comedy, romance film from 1995.",,Comedy|Romance,1995,6.3,English,85,Hollywood
4,Waiting to Exhale,https://image.tmdb.org/t/p/w500/8MprEuTY3EwkF9nBBPCUyjRjvs5.jpg,"Waiting to Exhale is a comedy, drama, romance film from 1995.",,Comedy|Drama|Romance,1995,5.4,English,86,Hollywood
5,Father of the Bride Part II,https://image.tmdb.org/t/p/w500/rj4LBtwQ0uGrpBnCELr716Qo3mw.jpg,Father of the Bride Part II is a comedy film from 1995.,,Comedy,1995,6.5,English,87,Hollywood
6,Heat,https://image.tmdb.org/t/p/w500/umSVjVdbVwtx5ryCA2QXL44Durm.jpg,A master thief and a determined detective move toward a final confrontation in Los Angeles.,,Action|Crime|Thriller,1995,8.6,English,88,Hollywood
7,Sabrina,https://image.tmdb.org/t/p/w500/z1oNjotUI7D06J4LWQFQzdIuPnf.jpg,A chauffeur's daughter returns from Paris and becomes caught between two wealthy brothers.,,Comedy|Romance,1995,6.7,English,89,Hollywood
8,Tom and Huck,https://image.tmdb.org/t/p/w500/bMY31ikEOIPOHqQwhPhII8UVBln.jpg,"Tom and Huck is an adventure, family film from 1995.",,Adventure|Children,1995,6.8,English,90,Hollywood
9,Sudden Death,https://www.impawards.com/1995/posters/sudden_death.jpg,A firefighter must stop terrorists during a packed championship hockey game.,,Action,1995,6.0,English,91,Hollywood
10,GoldenEye,https://image.tmdb.org/t/p/w500/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg,James Bond faces a former ally who plans to use a stolen satellite weapon.,,Action|Adventure|Thriller,1995,7.1,English,92,Hollywood
11,"American President, The",https://www.impawards.com/1995/posters/american_president.jpg,A widowed U.S. president risks his political future when he falls in love with a lobbyist.,,Comedy|Drama|Romance,1995,7.2,English,93,Hollywood
12,Dracula: Dead and Loving It,https://www.impawards.com/1995/posters/dracula_dead_and_loving_it.jpg,Mel Brooks parodies the Dracula legend with a comic take on the classic vampire story.,,Comedy|Horror,1995,5.3,English,94,Hollywood
13,Balto,https://image.tmdb.org/t/p/w500/gV5PCAVCPNxlOLFM1bKk50EqLXO.jpg,A brave sled dog helps deliver medicine during a dangerous Alaskan diphtheria outbreak.,,Adventure|Animation|Children,1995,6.4,English,95,Hollywood
14,Nixon,https://image.tmdb.org/t/p/w500/cz2MTGr2wpDZLirgV2rGHBdA2t3.jpg,"Oliver Stone's drama examines Richard Nixon's rise, presidency, and downfall.",,Drama,1995,8.5,English,96,Hollywood
15,Cutthroat Island,https://image.tmdb.org/t/p/w500/hYdeBZ4BFXivdouxLfQGWNE6zRx.jpg,A pirate captain hunts for treasure while outrunning enemies across the Caribbean.,,Action|Adventure|Romance,1995,6.6,English,97,Hollywood
16,Casino,https://image.tmdb.org/t/p/w500/4TS5O1IP42bY2BvgMxL156EENy.jpg,"A Las Vegas casino operator is pulled into corruption, violence, and betrayal.",,Crime|Drama,1995,8.7,English,98,Hollywood
17,Sense and Sensibility,https://image.tmdb.org/t/p/w500/kSCvfuI6Hfu2Uro7T6D0IW3vmkY.jpg,"Two sisters face love, loss, and social pressure after their family fortune disappears.",,Drama|Romance,1995,8.8,English,99,Hollywood
18,Four Rooms,https://image.tmdb.org/t/p/w500/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg,A hotel bellhop survives four strange encounters during one chaotic New Year's Eve.,,Comedy,1995,7.0,English,100,Hollywood
19,Ace Ventura: When Nature Calls,https://image.tmdb.org/t/p/w500/wRlGnJhEzcxBjvWtvbjhDSU1cIY.jpg,Ace Ventura travels to Africa to find a sacred missing animal and prevent conflict.,,Comedy,1995,6.1,English,101,Hollywood
20,Money Train,https://image.tmdb.org/t/p/w500/jWBDz6Mf9aQVBiUS76JQsEhvoJl.jpg,Two foster-brother transit cops plan a risky robbery of a New York subway money train.,,Action|Comedy|Crime|Drama|Thriller,1995,5.2,English,102,Hollywood
21,Get Shorty,https://image.tmdb.org/t/p/w500/r82SdPhg4fnIcLt0ogIjQxqjdcO.jpg,A loan shark enters Hollywood and discovers movie production can be as ruthless as crime.,,Comedy|Crime|Thriller,1995,7.3,English,103,Hollywood
22,Copycat,https://image.tmdb.org/t/p/w500/oMgwJb016znNZcpDR20eXxZoW8A.jpg,A criminal psychologist and detective hunt a serial killer copying infamous murderers.,,Crime|Drama|Horror|Mystery|Thriller,1995,6.4,English,104,Hollywood
23,Assassins,https://image.tmdb.org/t/p/w500/wPmZYnaQpxwoHmwNwVhZ2IY0UbF.jpg,Two rival hitmen collide while chasing the same high-value target.,,Action|Crime|Thriller,1995,6.5,English,105,Hollywood
24,Powder,https://image.tmdb.org/t/p/w500/aQSA63T7zyzZxBZxr2MQaxt1gtO.jpg,A sheltered young man with unusual powers struggles to find acceptance.,,Drama|Sci-Fi,1995,6.6,English,106,Hollywood
25,Leaving Las Vegas,https://image.tmdb.org/t/p/w500/wTrFpGe3U65kXTldIUxuM2hmOAK.jpg,A self-destructive writer and a lonely sex worker form a fragile bond in Las Vegas.,,Drama|Romance,1995,7.7,English,107,Hollywood
26,Othello,https://image.tmdb.org/t/p/w500/kyevuYzW36wKadiE8lftLac5VwQ.jpg,"Shakespeare's tragedy follows jealousy, manipulation, and betrayal around a respected general.",,Drama,1995,7.8,English,108,Hollywood
27,Now and Then,https://image.tmdb.org/t/p/w500/q31Ks8oAmM4Nq2CcGjyYYpdBAmh.jpg,"Now and Then is a family, drama film from 1995.",,Children|Drama,1995,7.0,English,109,Hollywood
28,Persuasion,https://image.tmdb.org/t/p/w500/10hycdhFLq3M3y0ONxIMSiY8Mrs.jpg,"Persuasion is a drama, romance film from 1995.",,Drama|Romance,1995,8.1,English,110,Hollywood
